idx,word,occurrences
1611,john,7
1612,alright,7
1613,privat,7
1614,elsewher,7
1615,cash,7
1616,doubt,7
1617,ual,7
1618,th,7
1619,buf,7
1620,pressur,7
1621,lap,7
1622,lousi,7
1623,jax,7
1624,brutal,7
1625,machin,7
1626,stupid,7
1627,trap,7
1628,lucki,7
1629,seata,7
1630,bypm,7
1631,inch,7
1632,initi,7
1633,pittsburgh,7
1634,lufthansa,7
1635,cuz,7
1636,throw,7
1637,key,7
1638,unfriendlyski,7
1639,?,7
1640,fals,7
1641,certainli,7
1642,remain,7
1643,pray,6
1644,channel,6
1645,wallet,6
1646,tpa,6
1647,plain,6
1648,?,6
1649,spot,6
1650,h,6
1651,explor,6
1652,shitti,6
1653,bummer,6
1654,hou,6
1655,dozen,6
1656,enrout,6
1657,nantucket,6
1658,filmcrew,6
1659,dear,6
1660,staf,6
1661,evalu,6
1662,?,6
1663,bunch,6
1664,cle,6
1665,rectifi,6
1666,courteou,6
1667,whenev,6
1668,weird,6
1669,superior,6
1670,awe,6
1671,resch,6
1672,abil,6
1673,women,6
1674,extens,6
1675,batteri,6
1676,bullshit,6
1677,film,6
1678,chase,6
1679,constant,6
1680,cart,6
1681,transact,6
1682,blog,6
1683,myth,6
1684,?,6
1685,camera,6
1686,circl,6
1687,anytim,6
1688,decemb,6
1689,tick,6
1690,approach,6
1691,hubbi,6
1692,educ,6
1693,fulli,6
1694,browser,6
1695,beer,6
1696,passport,6
1697,heat,6
1698,teen,6
1699,strike,6
1700,hilari,6
1701,mex,6
1702,ca,6
1703,cxl,6
1704,wth,6
1705,savannah,6
1706,advic,6
1707,complimentari,6
1708,valuabl,6
1709,aww,6
1710,model,6
1711,penalti,6
1712,sigh,6
1713,goodwil,6
1714,larg,6
1715,ac,6
1716,unus,6
1717,shout,6
1718,injuri,6
1719,regular,6
1720,esp,6
1721,chi,6
1722,detroit,6
1723,desper,6
1724,combin,6
1725,intent,6
1726,await,6
1727,sju,6
1728,idiot,6
1729,throughout,6
1730,hurt,6
1731,costa,6
1732,rica,6
1733,asleep,6
1734,central,6
1735,rico,6
1736,survey,6
1737,law,6
1738,content,6
1739,hostag,6
1740,bug,6
1741,biggest,6
1742,articl,6
1743,progress,6
1744,magic,6
1745,quit,6
1746,abysm,6
1747,occur,6
1748,eastern,6
1749,neither,6
1750,headach,6
1751,glass,6
1752,scaveng,6
1753,cuba,6
1754,kelli,6
1755,ineffici,6
1756,ff,6
1757,jack,6
1758,dial,6
1759,redirect,6
1760,bar,6
1761,digit,6
1762,seek,6
1763,payment,6
1764,tost,6
1765,wrote,6
1766,guid,6
1767,pend,6
1768,sincepm,6
1769,compliment,6
1770,button,6
1771,danc,6
1772,jacket,6
1773,ep,6
1774,scam,6
1775,wine,6
1776,yvr,6
1777,??,6
1778,ba,6
1779,owe,6
1780,baltimor,6
1781,mech,6
1782,februari,6
1783,map,6
1784,argu,6
1785,aspen,6
1786,huh,6
1787,membership,6
1788,cleveland,6
1789,appal,6
1790,deep,6
1791,x,6
1792,tight,6
1793,scan,6
1794,octob,6
1795,lock,6
1796,airfar,6
1797,document,6
1798,threaten,6
1799,packag,6
1800,physic,6
1801,malfunct,6
1802,?,6
1803,msp,6
1804,yup,6
1805,ps,6
1806,grr,6
1807,birmingham,6
1808,nut,6
1809,disregard,6
1810,natur,6
1811,fav,6
1812,unitedfail,6
1813,decent,6
1814,activ,6
1815,fabul,6
1816,licens,6
1817,tel,6
1818,wake,6
1819,conveni,6
1820,color,6
1821,compar,6
1822,heavi,6
1823,lifetim,6
1824,written,6
1825,typic,6
1826,sarcasm,6
